Open time,BTCBUSD_Open,BTCBUSD_High,BTCBUSD_Low,BTCBUSD_Close,BTCBUSD_Volume,ETHBUSD_Open,ETHBUSD_High,ETHBUSD_Low,ETHBUSD_Close,ETHBUSD_Volume,BNBBUSD_Open,BNBBUSD_High,BNBBUSD_Low,BNBBUSD_Close,BNBBUSD_Volume
2020-02-19,10189.16000000,10264.15000000,9350.03000000,9598.06000000,1870.57292200,283.54000000,285.09000000,251.53000000,258.47000000,8130.90614000,24.14640000,24.34950000,21.78960000,22.39860000,32063.47000000
2020-02-20,9597.61000000,9698.87000000,9410.00000000,9603.98000000,2027.58078800,258.38000000,264.28000000,245.80000000,257.57000000,10628.22615000,22.28080000,22.64700000,21.05000000,22.16600000,38305.08000000
2020-02-21,9603.56000000,9762.40000000,9574.62000000,9689.00000000,1592.24196500,257.05000000,268.36000000,254.01000000,265.35000000,10580.67007000,22.15660000,22.87480000,21.81130000,22.18170000,25834.32000000
2020-02-22,9687.74000000,9717.48000000,9567.04000000,9666.67000000,983.10347400,265.58000000,266.94000000,256.47000000,262.13000000,4633.41048000,22.12790000,22.33370000,21.50000000,21.98480000,18116.48000000
2020-02-23,9665.11000000,10018.78000000,9663.72000000,9964.16000000,1784.76485000,261.98000000,276.32000000,261.49000000,275.11000000,7880.80814000,21.97430000,23.05260000,21.97430000,22.93060000,20469.32000000
2020-02-24,9964.51000000,10019.86000000,9484.35000000,9654.97000000,3020.41673700,275.11000000,277.87000000,257.22000000,265.41000000,12778.84308000,22.87380000,23.29160000,21.48010000,22.08150000,31777.13000000
2020-02-25,9653.31000000,9673.16000000,9240.02000000,9308.43000000,3051.64547200,265.47000000,265.97000000,244.50000000,246.55000000,13038.84791000,22.08150000,22.08150000,20.11000000,20.29820000,30545.31000000
2020-02-26,9306.54000000,9365.21000000,8622.23000000,8775.92000000,4249.33494400,245.90000000,250.00000000,215.51000000,223.58000000,16320.98548000,20.30000000,20.47330000,17.87050000,18.64990000,62585.09000000
2020-02-27,8778.26000000,8974.75000000,8523.95000000,8815.88000000,4075.59649900,223.32000000,238.13000000,209.74000000,227.60000000,15039.46633000,18.65540000,19.64480000,17.65030000,19.12680000,41874.28000000
2020-02-28,8817.81000000,8899.99000000,8437.40000000,8706.48000000,4328.05479000,227.96000000,234.47000000,213.97000000,227.15000000,11380.47297000,19.16310000,19.75250000,17.91920000,19.04540000,33160.61000000
2020-02-29,8702.71000000,8796.91000000,8522.87000000,8524.53000000,1837.60556100,227.11000000,233.18000000,217.12000000,217.48000000,7633.70043000,19.08000000,20.28000000,18.82350000,19.26890000,34926.65000000
2020-03-01,8522.83000000,8746.68000000,8411.11000000,8525.69000000,3142.77406200,217.15000000,227.50000000,212.37000000,217.40000000,10634.75836000,19.22220000,19.86680000,18.48000000,18.92250000,26893.07000000
2020-03-02,8521.81000000,8970.07000000,8487.70000000,8916.01000000,2665.67286200,217.35000000,234.30000000,215.97000000,232.04000000,11712.33851000,18.86350000,20.13770000,18.75290000,19.91190000,25171.32000000
2020-03-03,8919.54000000,8920.83000000,8658.18000000,8759.41000000,2328.87298900,232.17000000,232.99000000,220.10000000,223.63000000,18298.41834000,19.89790000,20.37370000,19.30220000,19.64540000,23240.37000000
2020-03-04,8761.16000000,8849.79000000,8668.03000000,8757.57000000,1695.39456600,224.00000000,228.64000000,220.33000000,224.62000000,12389.64602000,19.67730000,20.26530000,19.53000000,19.94540000,34764.23000000
2020-03-05,8757.64000000,9170.00000000,8757.56000000,9069.30000000,2769.45027100,224.64000000,234.21000000,224.64000000,228.63000000,14453.02958000,19.94540000,21.46530000,19.94540000,20.79930000,35828.18000000
2020-03-06,9068.96000000,9179.00000000,8999.00000000,9152.98000000,2256.39948200,228.57000000,245.84000000,227.69000000,245.56000000,31688.53983000,20.77960000,21.76270000,20.70840000,21.39280000,21350.65000000
2020-03-07,9153.13000000,9212.26000000,8860.00000000,8896.07000000,1820.71592900,245.88000000,252.36000000,236.44000000,237.37000000,13624.93751000,21.37780000,21.50680000,19.75110000,20.24480000,49894.55000000
2020-03-08,8895.83000000,8895.83000000,8003.20000000,8035.49000000,4783.53876200,237.34000000,237.34000000,195.50000000,199.35000000,66959.46199000,20.21000000,20.24050000,16.72960000,16.89750000,92903.39000000
2020-03-09,8035.39000000,8178.26000000,7633.36000000,7926.58000000,9023.48151900,199.50000000,208.49000000,189.69000000,202.63000000,41207.42536000,16.89750000,17.49140000,15.63020000,16.59380000,143281.51000000
2020-03-10,7926.62000000,8151.72000000,7731.89000000,7889.21000000,4903.58108800,203.03000000,206.24000000,195.61000000,200.63000000,17554.38159000,16.59890000,17.44320000,16.30170000,16.82210000,44504.72000000
2020-03-11,7892.58000000,7985.51000000,7587.34000000,7940.09000000,3727.70973200,200.59000000,203.13000000,181.81000000,194.85000000,41317.58470000,16.84980000,17.12490000,15.43870000,16.58280000,31867.74000000
2020-03-12,7941.97000000,7968.67000000,4418.46000000,4802.94000000,16148.57452800,195.03000000,195.52000000,100.53000000,107.59000000,158890.52373000,16.60300000,16.60300000,8.82540000,9.28000000,472599.28000000
2020-03-13,4800.43000000,5995.35000000,3775.58000000,5634.62000000,15691.83450800,107.58000000,140.33000000,85.67000000,135.03000000,100764.58219000,9.26070000,11.62990000,6.34230000,10.97080000,305167.95000000
2020-03-14,5625.69000000,5662.06000000,5052.06000000,5164.13000000,8073.13349900,135.70000000,135.71000000,120.84000000,122.70000000,51996.11848000,10.97780000,11.33290000,9.89830000,10.17260000,61571.68000000
2020-03-15,5174.02000000,5962.79000000,5090.48000000,5353.66000000,7156.88216200,122.54000000,133.94000000,120.20000000,123.56000000,45044.67339000,10.17130000,11.27370000,9.97120000,10.36110000,59291.39000000
2020-03-16,5352.22000000,5353.56000000,4433.58000000,5032.16000000,14750.43983100,123.44000000,124.07000000,101.00000000,110.98000000,46742.06668000,10.36690000,10.36690000,8.42580000,9.42830000,106671.87000000
2020-03-17,5033.70000000,5550.00000000,4930.01000000,5336.77000000,9352.02591200,111.46000000,121.24000000,109.45000000,116.16000000,37731.97027000,9.44530000,10.53930000,9.33380000,10.31830000,65705.11000000
